allele,Raw,Post-Phase 1,Post-Phase 2
BOLA102301,202,202,127
BOLA104201,2,2,2
BOLA106701,1,1,1
BOLA200801,12,12,11
BOLA201201,56,56,29
BOLA201801,1,1,1
BOLA202201,1,1,1
BOLA203001,1,1,1
BOLA204501,1,1,1
BOLA204601,3,3,2
BOLA205601,1,1,1
BOLA205701,1,1,1
BOLA300101,9,9,7
BOLA300201,33,33,21
BOLA301001,84,84,24
BOLA601301,6835,1000,207
BOLA601302,1,1,1
BOLA601401,2,2,2
BOLA601501,1,1,1
BOLA604101,40,40,16
DLA8803401,316,316,79
DLA8850101,1654,1000,510
DLA8850801,49,49,26
EQCA100101,23,23,14
EQCA1600101,38,38,22
GOGOB0101,6,6,5
H2DB,4434,1000,447
H2DD,107,107,12
H2DK,6,6,4
H2DQ,7548,1000,24
H2KB,6344,1000,263
H2KD,1384,1000,50
H2KK,199,199,79
H2KQ,404,404,63
H2LD,181,181,14
H2LQ,3,3,2
HLAA01010101,19922,1000,140
HLAA01020101,81,81,53
HLAA01030101,56,56,23
HLAA0106,6,6,5
HLAA01090101,2,2,2
HLAA0125,456,456,157
HLAA0138,2,2,2
HLAA0201,100684,1000,122
HLAA0202,11681,1000,162
HLAA0203,6357,1000,161
HLAA0204,2753,1000,157
HLAA0205,12706,1000,282
HLAA0206,13666,1000,346
HLAA0207,4119,1000,265
HLAA02090101,6,6,5
HLAA0210,4,4,2
HLAA0211,2804,1000,238
HLAA0212,306,306,61
HLAA0213,3,3,2
HLAA0214,286,286,104
HLAA0216,298,298,74
HLAA0217,692,692,175
HLAA0219,336,336,47
HLAA0220,1572,1000,245
HLAA02220101,268,268,94
HLAA022401,5,5,4
HLAA0227,171,171,43
HLAA0229,54,54,32
HLAA023001,1355,1000,251
HLAA023501,6,6,5
HLAA0238,335,335,85
HLAA02402,1,1,1
HLAA0250,85,85,35
HLAA0252,1373,1000,233
HLAA0267,98,98,53
HLAA03010102,44884,1000,169
HLAA0302,673,673,224
HLAA0312,328,328,122
HLAA0319,14,14,8
HLAA0325,1627,1000,133
HLAA11010101,39089,1000,214
HLAA1102,5443,1000,390
HLAA11030102,150,150,70
HLAA1104,132,132,72
HLAA1110,174,174,64
HLAA2301,7397,1000,47
HLAA2304,17,17,11
HLAA2305,41,41,18
HLAA24020101,30482,1000,161
HLAA2403,1204,1000,205
HLAA2404,2,2,2
HLAA2406,359,359,189
HLAA24070101,1348,1000,512
HLAA24100101,10,10,6
HLAA241302,260,260,133
HLAA24170101,11,11,7
HLAA24200101,12,12,8
HLAA2423,56,56,12
HLAA2425,1,1,1
HLAA2431,32,32,16
HLAA2501,3814,1000,530
HLAA2601,6611,1000,196
HLAA2602,260,260,122
HLAA26030101,164,164,57
HLAA26080102,116,116,36
HLAA2614,3,3,3
HLAA2615,7,7,5
HLAA29010101,841,841,79
HLAA29020101,13801,1000,372
HLAA2906,372,372,145
HLAA29100,3107,1000,66
HLAA2911,1,1,1
HLAA30010101,10333,1000,209
HLAA30020101,5765,1000,63
HLAA3003,13,13,8
HLAA30040101,225,225,24
HLAA3014,12,12,6
HLAA3101,12539,1000,37
HLAA310201,214,214,81
HLAA3106,2,2,2
HLAA3108,1,1,1
HLAA32010101,8535,1000,366
HLAA3207,76,76,36
HLAA3213,2,2,2
HLAA3215,59,59,23
HLAA3301,3890,1000,42
HLAA3303,12072,1000,56
HLAA3305,24,24,15
HLAA34010101,1901,1000,74
HLAA34020101,4054,1000,440
HLAA3405,1,1,1
HLAA36010101,2236,1000,181
HLAA3603,4,4,3
HLAA6601,1687,1000,417
HLAA66020101,67,67,22
HLAA66030101,4,4,4
HLAA68010101,22696,1000,398
HLAA68020101,10557,1000,267
HLAA68030101,178,178,63
HLAA6805,2,2,2
HLAA6806,12,12,7
HLAA68080101,6,6,3
HLAA681202,7,7,4
HLAA6823,71,71,33
HLAA6824,8,8,5
HLAA6826,79,79,38
HLAA6901,8392,1000,425
HLAA74010101,2293,1000,336
HLAA7409,11,11,7
HLAA7411,4,4,3
HLAA80010101,136,136,51
HLAB07020101,27602,1000,43
HLAB070401,1739,1000,169
HLAB07050101,1099,1000,45
HLAB07060101,1384,1000,112
HLAB070901,8,8,5
HLAB071001,37,37,22
HLAB0712,23,23,9
HLAB072201,17,17,11
HLAB08010101,37427,1000,168
HLAB0802,39,39,18
HLAB0803,18,18,10
HLAB0809,12,12,7
HLAB13010101,3193,1000,503
HLAB1302,7330,1000,216
HLAB14010101,186,186,11
